State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Bihar,ARARIA,2003,Whole Year ,Sweet potato,845,12261
Bihar,ARARIA,2003,Whole Year ,Turmeric,208,206
Bihar,ARARIA,2004,Whole Year ,Banana,484,3964
Bihar,ARARIA,2004,Whole Year ,Coriander,96,63
Bihar,ARARIA,2004,Whole Year ,Dry chillies,232,160
Bihar,ARARIA,2004,Whole Year ,Dry ginger,71,107
Bihar,ARARIA,2004,Whole Year ,Garlic,186,280
Bihar,ARARIA,2004,Whole Year ,Onion,471,3749
Bihar,ARARIA,2004,Whole Year ,Potato,5513,44718
Bihar,ARARIA,2004,Whole Year ,Sannhamp,1192,960
Bihar,ARARIA,2004,Whole Year ,Sugarcane,144,5254
Bihar,ARARIA,2004,Whole Year ,Sweet potato,706,8503
Bihar,ARARIA,2004,Whole Year ,Tobacco,4,5
Bihar,ARARIA,2004,Whole Year ,Turmeric,224,221
Bihar,ARARIA,2005,Whole Year ,Banana,401,5730
Bihar,ARARIA,2005,Whole Year ,Coriander,192,151
Bihar,ARARIA,2005,Whole Year ,Dry chillies,309,204
Bihar,ARARIA,2005,Whole Year ,Dry ginger,39,59
Bihar,ARARIA,2005,Whole Year ,Garlic,311,459
Bihar,ARARIA,2005,Whole Year ,Onion,954,8510
Bihar,ARARIA,2005,Whole Year ,Potato,7467,77822
Bihar,ARARIA,2005,Whole Year ,Sannhamp,774,670
Bihar,ARARIA,2005,Whole Year ,Sweet potato,665,10416
Bihar,ARARIA,2005,Whole Year ,Turmeric,266,259
Bihar,ARARIA,2007,Whole Year ,Banana,375,4391
Bihar,ARARIA,2007,Whole Year ,Coriander,192,139
Bihar,ARARIA,2007,Whole Year ,Dry chillies,261,183
Bihar,ARARIA,2007,Whole Year ,Garlic,416,601
Bihar,ARARIA,2007,Whole Year ,Onion,844,8533
Bihar,ARARIA,2007,Whole Year ,Potato,7342,75585
Bihar,ARARIA,2007,Whole Year ,Sweet potato,693,8832
Bihar,ARARIA,2007,Whole Year ,Turmeric,302,287
Bihar,ARARIA,2008,Whole Year ,Dry chillies,284,202
Bihar,ARARIA,2008,Whole Year ,Garlic,416,575
Bihar,ARARIA,2008,Whole Year ,Onion,794,8139
Bihar,ARARIA,2008,Whole Year ,Turmeric,271,343
Bihar,ARARIA,2010,Whole Year ,Sugarcane,147,7377
Bihar,ARARIA,2013,Whole Year ,Tobacco,38,72
Bihar,ARWAL,2003,Whole Year ,Banana,7,116
Bihar,ARWAL,2003,Whole Year ,Coriander,3,2
Bihar,ARWAL,2003,Whole Year ,Dry chillies,3,2
Bihar,ARWAL,2003,Whole Year ,Onion,95,726
Bihar,ARWAL,2003,Whole Year ,Potato,738,6391
Bihar,ARWAL,2003,Whole Year ,Sannhamp,18,14
Bihar,ARWAL,2003,Whole Year ,Sugarcane,86,3625
Bihar,ARWAL,2003,Whole Year ,Sweet potato,10,81
Bihar,ARWAL,2003,Whole Year ,Turmeric,7,7
Bihar,ARWAL,2004,Whole Year ,Coriander,10,7
Bihar,ARWAL,2004,Whole Year ,Dry chillies,10,7
Bihar,ARWAL,2004,Whole Year ,Garlic,10,15
Bihar,ARWAL,2004,Whole Year ,Onion,120,869
Bihar,ARWAL,2004,Whole Year ,Potato,1058,6808
Bihar,ARWAL,2004,Whole Year ,Sannhamp,1,1
Bihar,ARWAL,2004,Whole Year ,Sugarcane,49,1762
Bihar,ARWAL,2004,Whole Year ,Sweet potato,5,41
Bihar,ARWAL,2005,Whole Year ,Coriander,8,7
Bihar,ARWAL,2005,Whole Year ,Dry chillies,9,9
Bihar,ARWAL,2005,Whole Year ,Dry ginger,3,4
Bihar,ARWAL,2005,Whole Year ,Garlic,21,31
Bihar,ARWAL,2005,Whole Year ,Onion,107,786
Bihar,ARWAL,2005,Whole Year ,Potato,964,5761
Bihar,ARWAL,2005,Whole Year ,Sannhamp,7,6
Bihar,ARWAL,2005,Whole Year ,Sugarcane,65,1710
Bihar,ARWAL,2005,Whole Year ,Sweet potato,3,45
Bihar,ARWAL,2005,Whole Year ,Turmeric,11,10
Bihar,ARWAL,2007,Whole Year ,Coriander,12,9
Bihar,ARWAL,2007,Whole Year ,Garlic,20,29
Bihar,ARWAL,2007,Whole Year ,Onion,120,1043
Bihar,ARWAL,2007,Whole Year ,Potato,1326,6597
Bihar,ARWAL,2007,Whole Year ,Sugarcane,99,3671
Bihar,ARWAL,2007,Whole Year ,Sweet potato,1,13
Bihar,ARWAL,2008,Whole Year ,Dry chillies,9,13
Bihar,ARWAL,2008,Whole Year ,Garlic,18,29
Bihar,ARWAL,2008,Whole Year ,Onion,106,729
Bihar,ARWAL,2008,Whole Year ,Sugarcane,11,385
Bihar,ARWAL,2009,Whole Year ,Sugarcane,27,1317
Bihar,ARWAL,2010,Whole Year ,Sugarcane,32,2148
Bihar,ARWAL,2012,Whole Year ,Sugarcane,75,4535
Bihar,ARWAL,2013,Whole Year ,Sugarcane,38,940
Bihar,ARWAL,2014,Whole Year ,Sugarcane,28,3172
Bihar,AURANGABAD,1997,Whole Year ,Coriander,20,10
Bihar,AURANGABAD,1997,Whole Year ,Dry chillies,13,10
Bihar,AURANGABAD,1997,Whole Year ,Onion,256,1956
Bihar,AURANGABAD,1997,Whole Year ,Potato,1554,13567
Bihar,AURANGABAD,1997,Whole Year ,Ragi,21,18
Bihar,AURANGABAD,1997,Whole Year ,Sugarcane,393,8344
Bihar,AURANGABAD,1997,Whole Year ,Sweet potato,26,343
Bihar,AURANGABAD,1997,Whole Year ,Turmeric,15,18
Bihar,AURANGABAD,1998,Whole Year ,Coriander,11,7
Bihar,AURANGABAD,1998,Whole Year ,Dry chillies,9,7
Bihar,AURANGABAD,1998,Whole Year ,Dry ginger,3,4
Bihar,AURANGABAD,1998,Whole Year ,Garlic,3,4
Bihar,AURANGABAD,1998,Whole Year ,Onion,204,1895
Bihar,AURANGABAD,1998,Whole Year ,Potato,1098,13389
Bihar,AURANGABAD,1998,Whole Year ,Sannhamp,4,1
Bihar,AURANGABAD,1998,Whole Year ,Sugarcane,556,28873
Bihar,AURANGABAD,1998,Whole Year ,Sweet potato,92,995
Bihar,AURANGABAD,1998,Whole Year ,Turmeric,3,3
Bihar,AURANGABAD,1999,Whole Year ,Coriander,11,6
Bihar,AURANGABAD,1999,Whole Year ,Dry chillies,11,10
Bihar,AURANGABAD,1999,Whole Year ,Onion,266,3261
Bihar,AURANGABAD,1999,Whole Year ,Potato,1225,8356
Bihar,AURANGABAD,1999,Whole Year ,Sugarcane,487,20574
Bihar,AURANGABAD,1999,Whole Year ,Sweet potato,20,273
Bihar,AURANGABAD,2000,Whole Year ,Coriander,14,9
Bihar,AURANGABAD,2000,Whole Year ,Dry chillies,3,3
Bihar,AURANGABAD,2000,Whole Year ,Garlic,3,4
Bihar,AURANGABAD,2000,Whole Year ,Onion,366,3148
Bihar,AURANGABAD,2000,Whole Year ,Potato,1212,8153
Bihar,AURANGABAD,2000,Whole Year ,Sugarcane,522,23498
Bihar,AURANGABAD,2000,Whole Year ,Sweet potato,9,108
Bihar,AURANGABAD,2001,Whole Year ,Coriander,12,7
Bihar,AURANGABAD,2001,Whole Year ,Dry chillies,8,8
Bihar,AURANGABAD,2001,Whole Year ,Garlic,3,4
Bihar,AURANGABAD,2001,Whole Year ,Onion,279,3130
Bihar,AURANGABAD,2001,Whole Year ,Potato,1729,15141
Bihar,AURANGABAD,2001,Whole Year ,Sugarcane,478,21267
Bihar,AURANGABAD,2001,Whole Year ,Sweet potato,11,129
Bihar,AURANGABAD,2001,Whole Year ,Turmeric,3,4
Bihar,AURANGABAD,2002,Whole Year ,Coriander,6,4
Bihar,AURANGABAD,2002,Whole Year ,Dry chillies,8,5
Bihar,AURANGABAD,2002,Whole Year ,Dry ginger,1,1
Bihar,AURANGABAD,2002,Whole Year ,Garlic,3,4
Bihar,AURANGABAD,2002,Whole Year ,Onion,226,1058
Bihar,AURANGABAD,2002,Whole Year ,Potato,1554,14384
Bihar,AURANGABAD,2002,Whole Year ,Sugarcane,413,19058
Bihar,AURANGABAD,2002,Whole Year ,Sweet potato,51,591
Bihar,AURANGABAD,2003,Whole Year ,Coriander,6,4
Bihar,AURANGABAD,2003,Whole Year ,Dry chillies,2,1
Bihar,AURANGABAD,2003,Whole Year ,Garlic,4,6
Bihar,AURANGABAD,2003,Whole Year ,Onion,434,3702
Bihar,AURANGABAD,2003,Whole Year ,Potato,955,8740
Bihar,AURANGABAD,2003,Whole Year ,Sugarcane,230,9815
Bihar,AURANGABAD,2003,Whole Year ,Sweet potato,1,8
Bihar,AURANGABAD,2004,Whole Year ,Coriander,2,1
Bihar,AURANGABAD,2004,Whole Year ,Dry chillies,2,1
Bihar,AURANGABAD,2004,Whole Year ,Onion,246,2044
Bihar,AURANGABAD,2004,Whole Year ,Potato,1163,7484
Bihar,AURANGABAD,2004,Whole Year ,Sugarcane,231,8306
Bihar,AURANGABAD,2004,Whole Year ,Sweet potato,4,38
Bihar,AURANGABAD,2005,Whole Year ,Coriander,4,3
Bihar,AURANGABAD,2005,Whole Year ,Dry chillies,7,7
Bihar,AURANGABAD,2005,Whole Year ,Dry ginger,1,2
Bihar,AURANGABAD,2005,Whole Year ,Garlic,6,9
Bihar,AURANGABAD,2005,Whole Year ,Onion,1317,10352
Bihar,AURANGABAD,2005,Whole Year ,Potato,1497,9143
Bihar,AURANGABAD,2005,Whole Year ,Sannhamp,2,2
Bihar,AURANGABAD,2005,Whole Year ,Sugarcane,223,5866
Bihar,AURANGABAD,2005,Whole Year ,Sweet potato,4,60
Bihar,AURANGABAD,2005,Whole Year ,Turmeric,2,2
Bihar,AURANGABAD,2007,Whole Year ,Coriander,7,5
Bihar,AURANGABAD,2007,Whole Year ,Dry chillies,5,7
Bihar,AURANGABAD,2007,Whole Year ,Garlic,13,19
Bihar,AURANGABAD,2007,Whole Year ,Onion,374,4507
Bihar,AURANGABAD,2007,Whole Year ,Potato,2431,12337
Bihar,AURANGABAD,2007,Whole Year ,Sugarcane,279,10190
Bihar,AURANGABAD,2007,Whole Year ,Sweet potato,3,39
Bihar,AURANGABAD,2007,Whole Year ,Turmeric,1,1
Bihar,AURANGABAD,2008,Whole Year ,Dry chillies,4,6
Bihar,AURANGABAD,2008,Whole Year ,Garlic,13,21
Bihar,AURANGABAD,2008,Whole Year ,Onion,374,2745
Bihar,AURANGABAD,2008,Whole Year ,Sugarcane,279,10745
Bihar,AURANGABAD,2008,Whole Year ,Turmeric,2,2
Bihar,AURANGABAD,2009,Whole Year ,Sugarcane,91,4423
Bihar,AURANGABAD,2010,Whole Year ,Sugarcane,895,60075
Bihar,AURANGABAD,2012,Whole Year ,Sugarcane,157,9492
Bihar,AURANGABAD,2013,Whole Year ,Sugarcane,143,3537
Bihar,AURANGABAD,2014,Whole Year ,Sugarcane,132,14896
Bihar,BANKA,1997,Whole Year ,Dry chillies,12,10
Bihar,BANKA,1997,Whole Year ,Garlic,2,3
Bihar,BANKA,1997,Whole Year ,Onion,111,847
Bihar,BANKA,1997,Whole Year ,Potato,1501,11656
Bihar,BANKA,1997,Whole Year ,Ragi,112,98
Bihar,BANKA,1997,Whole Year ,Sannhamp,237,141
Bihar,BANKA,1997,Whole Year ,Sugarcane,1305,66105
Bihar,BANKA,1998,Whole Year ,Dry chillies,3,3
Bihar,BANKA,1998,Whole Year ,Onion,130,1162
Bihar,BANKA,1998,Whole Year ,Potato,2564,21898
Bihar,BANKA,1998,Whole Year ,Sannhamp,603,342
Bihar,BANKA,1998,Whole Year ,Sugarcane,945,46902
Bihar,BANKA,1999,Whole Year ,Onion,156,1623
Bihar,BANKA,1999,Whole Year ,Potato,2156,19844
Bihar,BANKA,1999,Whole Year ,Sugarcane,1044,42407
Bihar,BANKA,2000,Whole Year ,Coriander,2,1
Bihar,BANKA,2000,Whole Year ,Dry chillies,5,5
Bihar,BANKA,2000,Whole Year ,Garlic,2,3
Bihar,BANKA,2000,Whole Year ,Onion,87,888
Bihar,BANKA,2000,Whole Year ,Potato,2672,21571
Bihar,BANKA,2000,Whole Year ,Sugarcane,1112,33538
Bihar,BANKA,2000,Whole Year ,Turmeric,1,1
Bihar,BANKA,2001,Whole Year ,Coriander,2,1
Bihar,BANKA,2001,Whole Year ,Dry chillies,4,4
Bihar,BANKA,2001,Whole Year ,Garlic,2,3
Bihar,BANKA,2001,Whole Year ,Onion,124,1184
Bihar,BANKA,2001,Whole Year ,Potato,2545,25617
Bihar,BANKA,2001,Whole Year ,Sugarcane,1231,59878
Bihar,BANKA,2001,Whole Year ,Turmeric,1,1
Bihar,BANKA,2002,Whole Year ,Dry chillies,16,11
Bihar,BANKA,2002,Whole Year ,Onion,13,112
Bihar,BANKA,2002,Whole Year ,Potato,1923,15034
Bihar,BANKA,2002,Whole Year ,Sannhamp,1054,749
Bihar,BANKA,2002,Whole Year ,Sugarcane,1092,55692
Bihar,BANKA,2002,Whole Year ,Sweet potato,10,147
Bihar,BANKA,2003,Whole Year ,Dry chillies,2,1
Bihar,BANKA,2003,Whole Year ,Onion,29,275
Bihar,BANKA,2003,Whole Year ,Potato,2436,22857
Bihar,BANKA,2003,Whole Year ,Sannhamp,694,498
Bihar,BANKA,2003,Whole Year ,Sugarcane,1110,39862
Bihar,BANKA,2004,Whole Year ,Dry chillies,9,6
Bihar,BANKA,2004,Whole Year ,Onion,15,113
Bihar,BANKA,2004,Whole Year ,Potato,2072,15549
Bihar,BANKA,2004,Whole Year ,Sannhamp,1025,825
Bihar,BANKA,2004,Whole Year ,Sugarcane,850,35264
Bihar,BANKA,2004,Whole Year ,Sweet potato,10,159
Bihar,BANKA,2005,Whole Year ,Dry chillies,3,3
Bihar,BANKA,2005,Whole Year ,Onion,18,157
Bihar,BANKA,2005,Whole Year ,Potato,2472,20621
Bihar,BANKA,2005,Whole Year ,Sannhamp,1100,892
Bihar,BANKA,2005,Whole Year ,Sugarcane,1260,48510
Bihar,BANKA,2007,Whole Year ,Dry chillies,3,4
Bihar,BANKA,2007,Whole Year ,Garlic,3,4
Bihar,BANKA,2007,Whole Year ,Onion,36,324
Bihar,BANKA,2007,Whole Year ,Potato,5904,47749
Bihar,BANKA,2007,Whole Year ,Sugarcane,1464,72813
Bihar,BANKA,2008,Whole Year ,Dry chillies,3,4
Bihar,BANKA,2008,Whole Year ,Garlic,3,5
Bihar,BANKA,2008,Whole Year ,Onion,24,223
Bihar,BANKA,2008,Whole Year ,Sugarcane,1697,65103
Bihar,BANKA,2009,Whole Year ,Sugarcane,451,32781
Bihar,BANKA,2010,Whole Year ,Sugarcane,3256,232950
Bihar,BANKA,2012,Whole Year ,Sugarcane,2365,135379
Bihar,BANKA,2013,Whole Year ,Sugarcane,2440,179615
Bihar,BANKA,2014,Whole Year ,Sugarcane,2960,202907
Bihar,BEGUSARAI,1997,Whole Year ,Banana,253,16324
Bihar,BEGUSARAI,1997,Whole Year ,Coriander,302,202
Bihar,BEGUSARAI,1997,Whole Year ,Dry chillies,2260,1921
Bihar,BEGUSARAI,1997,Whole Year ,Garlic,8,11
Bihar,BEGUSARAI,1997,Whole Year ,Onion,289,2575
Bihar,BEGUSARAI,1997,Whole Year ,Potato,4270,49130
Bihar,BEGUSARAI,1997,Whole Year ,Ragi,1022,897
Bihar,BEGUSARAI,1997,Whole Year ,Sannhamp,69,53
Bihar,BEGUSARAI,1997,Whole Year ,Sugarcane,2057,112359
Bihar,BEGUSARAI,1997,Whole Year ,Sweet potato,413,5446
Bihar,BEGUSARAI,1997,Whole Year ,Turmeric,419,242
Bihar,BEGUSARAI,1998,Whole Year ,Banana,250,11923
Bihar,BEGUSARAI,1998,Whole Year ,Coriander,255,235
Bihar,BEGUSARAI,1998,Whole Year ,Dry chillies,2783,2727
Bihar,BEGUSARAI,1998,Whole Year ,Garlic,12,17
Bihar,BEGUSARAI,1998,Whole Year ,Onion,357,5405
Bihar,BEGUSARAI,1998,Whole Year ,Potato,4405,43998
Bihar,BEGUSARAI,1998,Whole Year ,Sannhamp,100,86
Bihar,BEGUSARAI,1998,Whole Year ,Sugarcane,1876,93948
Bihar,BEGUSARAI,1998,Whole Year ,Sweet potato,413,5712
Bihar,BEGUSARAI,1998,Whole Year ,Tobacco,35,52
Bihar,BEGUSARAI,1998,Whole Year ,Turmeric,332,192
Bihar,BEGUSARAI,1999,Whole Year ,Banana,240,3238
Bihar,BEGUSARAI,1999,Whole Year ,Coriander,57,30
Bihar,BEGUSARAI,1999,Whole Year ,Dry chillies,1662,1413
Bihar,BEGUSARAI,1999,Whole Year ,Garlic,5,7
Bihar,BEGUSARAI,1999,Whole Year ,Onion,201,2088
Bihar,BEGUSARAI,1999,Whole Year ,Potato,4456,52038
Bihar,BEGUSARAI,1999,Whole Year ,Sugarcane,1751,74252
Bihar,BEGUSARAI,1999,Whole Year ,Sweet potato,190,2628
Bihar,BEGUSARAI,1999,Whole Year ,Tobacco,15,15
Bihar,BEGUSARAI,1999,Whole Year ,Turmeric,231,134
Bihar,BEGUSARAI,2000,Whole Year ,Banana,280,6835
Bihar,BEGUSARAI,2000,Whole Year ,Coriander,26,12
Bihar,BEGUSARAI,2000,Whole Year ,Dry chillies,1081,843
Bihar,BEGUSARAI,2000,Whole Year ,Garlic,2,3
Bihar,BEGUSARAI,2000,Whole Year ,Onion,187,2102
Bihar,BEGUSARAI,2000,Whole Year ,Potato,3296,38071
Bihar,BEGUSARAI,2000,Whole Year ,Sugarcane,1871,75355
Bihar,BEGUSARAI,2000,Whole Year ,Sweet potato,100,1208
Bihar,BEGUSARAI,2000,Whole Year ,Tobacco,15,17
Bihar,BEGUSARAI,2000,Whole Year ,Turmeric,195,190
Bihar,BEGUSARAI,2001,Whole Year ,Banana,278,23786
Bihar,BEGUSARAI,2001,Whole Year ,Coriander,42,24
Bihar,BEGUSARAI,2001,Whole Year ,Dry chillies,771,540
Bihar,BEGUSARAI,2001,Whole Year ,Garlic,7,10
Bihar,BEGUSARAI,2001,Whole Year ,Onion,143,1594
Bihar,BEGUSARAI,2001,Whole Year ,Potato,3442,34946
Bihar,BEGUSARAI,2001,Whole Year ,Sugarcane,3227,149672
Bihar,BEGUSARAI,2001,Whole Year ,Sweet potato,52,626
Bihar,BEGUSARAI,2001,Whole Year ,Tobacco,5,7
Bihar,BEGUSARAI,2001,Whole Year ,Turmeric,160,93
Bihar,BEGUSARAI,2002,Whole Year ,Banana,306,24560
Bihar,BEGUSARAI,2002,Whole Year ,Coriander,14,9
Bihar,BEGUSARAI,2002,Whole Year ,Dry chillies,865,502
Bihar,BEGUSARAI,2002,Whole Year ,Dry ginger,3,4
Bihar,BEGUSARAI,2002,Whole Year ,Garlic,1,1
Bihar,BEGUSARAI,2002,Whole Year ,Onion,101,868
Bihar,BEGUSARAI,2002,Whole Year ,Potato,3619,38291
Bihar,BEGUSARAI,2002,Whole Year ,Sannhamp,87,62
Bihar,BEGUSARAI,2002,Whole Year ,Sugarcane,3024,119578
Bihar,BEGUSARAI,2002,Whole Year ,Sweet potato,49,721
Bihar,BEGUSARAI,2002,Whole Year ,Tobacco,5,6
Bihar,BEGUSARAI,2002,Whole Year ,Turmeric,178,176
Bihar,BEGUSARAI,2003,Whole Year ,Banana,323,25039
Bihar,BEGUSARAI,2003,Whole Year ,Coriander,15,10
Bihar,BEGUSARAI,2003,Whole Year ,Dry chillies,901,649
Bihar,BEGUSARAI,2003,Whole Year ,Garlic,8,12
Bihar,BEGUSARAI,2003,Whole Year ,Onion,161,1528
Bihar,BEGUSARAI,2003,Whole Year ,Potato,3772,41363
Bihar,BEGUSARAI,2003,Whole Year ,Sannhamp,56,35
Bihar,BEGUSARAI,2003,Whole Year ,Sugarcane,3357,146746
Bihar,BEGUSARAI,2003,Whole Year ,Sweet potato,72,1004
Bihar,BEGUSARAI,2003,Whole Year ,Turmeric,194,192
Bihar,BEGUSARAI,2004,Whole Year ,Banana,282,3615
Bihar,BEGUSARAI,2004,Whole Year ,Coriander,38,25
Bihar,BEGUSARAI,2004,Whole Year ,Dry chillies,831,590
Bihar,BEGUSARAI,2004,Whole Year ,Garlic,10,15
Bihar,BEGUSARAI,2004,Whole Year ,Onion,164,956
Bihar,BEGUSARAI,2004,Whole Year ,Potato,3770,37732
Bihar,BEGUSARAI,2004,Whole Year ,Sannhamp,42,34
Bihar,BEGUSARAI,2004,Whole Year ,Sugarcane,2937,79407
Bihar,BEGUSARAI,2004,Whole Year ,Sweet potato,95,1471
Bihar,BEGUSARAI,2004,Whole Year ,Tobacco,2,2
Bihar,BEGUSARAI,2004,Whole Year ,Turmeric,196,194
Bihar,BEGUSARAI,2005,Whole Year ,Banana,295,10829
Bihar,BEGUSARAI,2005,Whole Year ,Coriander,54,35
Bihar,BEGUSARAI,2005,Whole Year ,Dry chillies,839,696
Bihar,BEGUSARAI,2005,Whole Year ,Dry ginger,1,2
Bihar,BEGUSARAI,2005,Whole Year ,Garlic,15,22
Bihar,BEGUSARAI,2005,Whole Year ,Onion,180,1571
Bihar,BEGUSARAI,2005,Whole Year ,Potato,3757,32943
Bihar,BEGUSARAI,2005,Whole Year ,Sannhamp,46,37
Bihar,BEGUSARAI,2005,Whole Year ,Sugarcane,2035,77770
Bihar,BEGUSARAI,2005,Whole Year ,Sweet potato,236,3706
Bihar,BEGUSARAI,2005,Whole Year ,Tobacco,3,3
Bihar,BEGUSARAI,2005,Whole Year ,Turmeric,300,292
Bihar,BEGUSARAI,2007,Whole Year ,Banana,299,3908
Bihar,BEGUSARAI,2007,Whole Year ,Coriander,45,33
Bihar,BEGUSARAI,2007,Whole Year ,Dry chillies,657,1235
Bihar,BEGUSARAI,2007,Whole Year ,Onion,196,1676
Bihar,BEGUSARAI,2007,Whole Year ,Potato,4565,40159
Bihar,BEGUSARAI,2007,Whole Year ,Sugarcane,1905,1228
Bihar,BEGUSARAI,2007,Whole Year ,Sweet potato,41,546
Bihar,BEGUSARAI,2007,Whole Year ,Turmeric,235,230
Bihar,BEGUSARAI,2008,Whole Year ,Dry chillies,324,758
Bihar,BEGUSARAI,2008,Whole Year ,Sugarcane,943,15973
Bihar,BEGUSARAI,2009,Whole Year ,Sugarcane,1112,35679
Bihar,BEGUSARAI,2009,Whole Year ,Tobacco,1,2
Bihar,BEGUSARAI,2010,Whole Year ,Sugarcane,6256,509782
Bihar,BEGUSARAI,2010,Whole Year ,Tobacco,6,11
Bihar,BEGUSARAI,2011,Whole Year ,Tobacco,6,11
Bihar,BEGUSARAI,2012,Whole Year ,Sugarcane,8166,736812
Bihar,BEGUSARAI,2013,Whole Year ,Sugarcane,1394,100907
Bihar,BEGUSARAI,2013,Whole Year ,Tobacco,6,11
Bihar,BEGUSARAI,2014,Whole Year ,Sugarcane,2556,154941
Bihar,BEGUSARAI,2014,Whole Year ,Tobacco,6,11
Bihar,BHAGALPUR,1997,Whole Year ,Banana,2716,42288
Bihar,BHAGALPUR,1997,Whole Year ,Coriander,55,27
Bihar,BHAGALPUR,1997,Whole Year ,Dry chillies,43,37
Bihar,BHAGALPUR,1997,Whole Year ,Garlic,17,23
Bihar,BHAGALPUR,1997,Whole Year ,Onion,136,1038
Bihar,BHAGALPUR,1997,Whole Year ,Potato,1870,14409
Bihar,BHAGALPUR,1997,Whole Year ,Sannhamp,202,120
Bihar,BHAGALPUR,1997,Whole Year ,Sugarcane,1636,64609
Bihar,BHAGALPUR,1997,Whole Year ,Sweet potato,66,870
Bihar,BHAGALPUR,1997,Whole Year ,Turmeric,33,37
